ID,LostCustomer,regionPctCustomers,numOfTotalReturns,wksSinceLastPurch,basktPurchCount12Month,LastPurchaseAmount,AvgPurchaseAmount12,AvgPurchaseAmountTotal,intAdExposureCount12,intAdExposureCount36,intAdExposureCountAll,socialMediaAdCount12,socialMediaAdCount36,socialMediaAdCountAll,totalNumProdPurchased,custInitiatedContacts,avgDiscountValue12,customersales,wksSinceFirstPurch,customerGender,EstimatedIncome,regionMedHomeVal,birthDate,customerSubscrStat,techSupportEval,Review_Text,Title,customerAge,DemHomeOwner,AvgPurchasePerAd12
176098,1,36,3,22,2,60,54,42.75,12,32,57,6,15,26,11,3,11.33,449.78,147,M,118000,120380,19JUL2002,Platinum,2,,,22,Unknown,4.5
69325,0,17,1,17,5,75,75,75,10,15,13,4,6,5,1,1,15,777.68,41,F,70000,127140,03MAR2006,Gold,5,,,18,HomeOwner,7.5
187451,0,31,2,21,3,100,75,75,6,12,12,2,5,5,2,2,15,710.6,53,U,70000,79560,,Member,5,,,,Unknown,12.5
7318,0,24,0,19,3,160,117.5,97.15,21,39,91,6,6,21,14,2,,1112.58,105,F,55000,294190,27MAY1997,Platinum,5,,,27,HomeOwner,5.5952380952
74645,0,32,0,15,5,120,120,120,9,10,11,3,3,3,1,0,,1112.55,39,U,45000,34450,,Member,,,,,Unknown,13.333333333
177149,0,45,2,16,2,70,62.5,53.35,15,35,53,7,16,20,9,2,13,407.87,89,M,96000,63830,20MAY1992,Platinum,2,,,32,Unknown,4.1666666667
15914,0,32,4,21,2,125,101,79.4,15,34,47,6,16,19,8,3,20.25,1112.07,81,F,67000,62270,,Platinum,4,,,,Unknown,6.7333333333
69700,0,34,3,17,2,40,33.75,32.5,12,27,63,5,12,27,12,3,6.67,285.25,154,F,150000,130130,05DEC1996,Platinum,2,,,27,HomeOwner,2.8125
87501,0,38,0,19,3,100,78.35,55.85,13,33,53,6,6,22,6,2,,706.47,100,F,92000,115700,18JUL1999,Platinum,5,,,25,Unknown,6.0269230769
10046,0,0,1,5,3,50,50,45,38,57,116,6,14,25,16,2,10,389.65,126,M,113000,102570,04MAY2000,Platinum,2,,,24,HomeOwner,1.3157894737
97888,0,31,0,19,10,125,0,125,10,10,12,4,4,5,1,0,,663.19,43,M,43000,86060,09JAN1996,Gold,,,,28,HomeOwner,0
10271,0,42,1,6,5,50,90,55,35,54,101,5,13,34,19,3,18,1088.82,150,M,94000,39780,22OCT2004,Platinum,2,,,19,Unknown,2.5714285714
125109,0,20,1,16,5,100,100,100,13,18,15,5,7,6,1,1,20,1113.31,40,F,54000,69940,14NOV1986,Gold,5,,,37,HomeOwner,7.6923076923
184328,0,38,5,19,1,125,75.7,48.5,14,33,62,6,17,26,20,3,14.2,951.29,110,F,105000,75790,12NOV2004,Platinum,4,,,19,Unknown,5.4071428571
153026,1,36,2,18,3,55,53.35,31.05,13,31,62,6,15,27,14,3,10.5,379.63,127,F,156000,211250,24JUN2003,Platinum,2,,,21,HomeOwner,4.1038461538
174129,0,15,1,20,5,150,150,150,11,18,16,5,8,7,1,1,30,1736.76,44,M,36000,327470,03AUG2000,Gold,5,,,24,HomeOwner,13.636363636
68480,0,33,0,17,3,60,73.35,73.35,13,27,24,6,6,11,3,0,,549.9,52,F,72000,67730,,Platinum,,,,,Unknown,5.6423076923
178164,0,32,1,19,3,80,75,77,11,23,49,4,9,18,5,2,14,715.61,116,M,69000,147290,,Platinum,5,,,,Unknown,6.8181818182
42878,1,44,3,19,2,50,36.25,30.65,13,33,37,6,16,15,8,2,6.33,292.2,65,F,158000,77350,19MAY2004,Platinum,2,,,20,HomeOwner,2.7884615385
186540,1,28,6,4,1,35,36.8,33.65,18,37,58,7,17,22,30,3,7.5,204.71,80,F,146000,119990,19DEC1993,Platinum,1,,,30,Unknown,2.0444444444
14252,0,36,1,17,3,125,62.5,75,25,37,35,5,10,9,4,1,5,647.33,50,M,70000,218010,14JUN2000,Gold,5,,,24,HomeOwner,2.5
191138,1,28,0,20,5,75,75,75,8,14,13,3,3,4,1,0,,711.56,44,F,70000,74230,20DEC1996,Gold,,,,27,HomeOwner,9.375
175647,0,34,2,18,3,65,75,45.3,14,36,69,6,17,27,17,3,16,701.17,116,F,112000,183950,14NOV1995,Platinum,2,,,28,Unknown,5.3571428571
73632,0,31,1,17,5,75,75,75,10,15,13,4,6,5,1,1,15,776.66,41,M,70000,125580,02NOV1995,Gold,5,,,28,HomeOwner,7.5
184867,0,4,2,16,3,100,75,58.35,13,30,34,6,13,13,3,2,15,698.03,70,M,89000,123500,,Platinum,5,,,,Unknown,5.7692307692
75482,0,34,1,17,5,100,100,100,10,15,13,4,6,5,1,1,20,1118.43,41,F,54000,31980,23NOV1992,Gold,5,,,31,HomeOwner,10
68622,0,16,0,15,3,50,50,43.35,12,19,17,5,5,7,3,0,,394.09,44,M,116000,168740,08JAN1996,Gold,,,,28,HomeOwner,4.1666666667
79768,0,27,0,26,5,100,100,74.3,9,28,56,4,4,22,7,2,,1110.02,117,M,71000,49010,09FEB2004,Platinum,5,,,20,Unknown,11.111111111
69564,0,29,0,18,5,100,125,35,13,35,59,6,6,24,12,3,,1752.85,102,F,141000,57200,19APR2007,Platinum,3,,,17,Unknown,9.6153846154
85644,0,33,0,18,5,115,115,86.65,13,30,58,6,6,24,6,2,,1111.98,137,M,61000,48100,,Platinum,5,,,,HomeOwner,8.8461538462
185986,0,0,5,9,1,25,42.2,36.45,22,43,60,7,18,21,21,3,8.4,222.74,88,F,136000,66950,,Platinum,1,,,,Unknown,1.9181818182
86915,0,35,2,19,3,50,62.5,48.55,13,30,56,6,13,20,7,2,12.5,537.07,114,M,105000,70460,,Platinum,2,,,,HomeOwner,4.8076923077
46544,0,45,3,16,3,100,75,75,14,27,25,6,12,10,3,2,15,712.72,53,M,70000,210600,19JUL1985,Platinum,5,,,39,HomeOwner,5.3571428571
88563,0,33,0,16,5,125,125,71.1,12,30,62,5,5,24,9,2,,1751.42,117,F,74000,176800,27DEC2005,Platinum,4,,,18,Unknown,10.416666667
186682,0,22,0,8,10,75,0,87.5,14,14,19,4,4,6,2,0,,490.22,47,M,61000,163150,03DEC1990,Gold,,,,33,HomeOwner,0
93560,0,13,0,18,3,135,130,108.75,13,35,40,6,6,17,4,1,,1739.99,69,F,49000,121940,26NOV1998,Platinum,5,,,25,Unknown,10
18260,0,29,0,20,3,100,100,75,14,31,34,6,6,13,3,1,,827.73,70,M,70000,52520,19NOV2003,Platinum,5,,,20,HomeOwner,7.1428571429
99925,0,23,0,25,5,250,250,205,11,32,52,6,6,22,5,2,,4249.95,116,U,27000,111410,12JAN1997,Platinum,5,,,27,Unknown,22.727272727
178147,0,40,1,18,3,100,137.5,84.6,13,35,81,6,17,34,13,2,30,1739.11,153,M,63000,49140,18JAN1998,Platinum,3,,,26,HomeOwner,10.576923077
112288,1,28,3,18,2,30,85,65.85,13,30,32,6,16,15,6,2,16,426.77,63,F,79000,163670,19OCT2001,Platinum,2,,,22,HomeOwner,6.5384615385
182037,0,43,4,23,2,25,35,35,13,32,32,6,16,14,5,2,7.5,294.25,60,M,141000,69550,14JAN1998,Platinum,1,,,26,HomeOwner,2.6923076923
136645,1,0,3,16,2,65,52.5,45,16,36,66,6,17,27,12,2,11.33,321.35,147,U,113000,123500,12NOV1998,Platinum,2,,,25,Unknown,3.28125
8345,0,28,0,18,3,125,130,130.85,15,34,69,6,6,23,6,2,,1752.68,100,M,41000,343200,12JUL1986,Platinum,5,,,38,Unknown,8.6666666667
148715,0,22,2,20,2,85,77.5,50.9,15,36,53,6,17,21,11,2,15,584.05,92,F,101000,212160,26JUN2003,Platinum,3,,,21,HomeOwner,5.1666666667
59863,0,29,1,15,5,50,125,87.5,12,17,15,5,7,6,2,1,25,1738.89,41,M,61000,66690,14APR1997,Gold,3,,,27,HomeOwner,10.416666667
159507,1,41,1,16,5,100,100,100,12,17,14,5,7,6,1,1,20,1008.97,40,F,54000,120640,16MAY2004,Gold,5,,,20,HomeOwner,8.3333333333
169722,1,17,0,23,10,125,0,125,10,10,15,4,4,6,1,0,,506.69,47,F,43000,185640,15JUN1994,Gold,,,,30,Unknown,0
67675,0,33,0,18,3,50,112.5,75,12,29,34,6,6,13,4,1,,829.82,69,F,70000,18330,17DEC1996,Platinum,3,,,27,HomeOwner,9.375
175005,0,30,4,19,2,20,24,18.9,11,30,62,6,16,24,23,3,5,233.5,110,F,235000,86840,10MAY1984,Platinum,1,,,40,HomeOwner,2.1818181818
9163,0,19,0,7,10,50,0,35.2,32,32,95,4,4,28,25,3,,355.03,148,F,140000,92430,22FEB2006,Platinum,2,,,18,HomeOwner,0
177252,0,44,1,18,2,50,38,33.15,13,34,71,6,16,27,19,2,5,327.65,121,M,147000,72930,22MAY2007,Platinum,2,,,17,Unknown,2.9230769231
68913,0,27,1,22,3,90,85,64.3,11,30,60,5,14,28,7,2,16,699.85,146,F,81000,197080,10DEC1993,Platinum,3,,,30,HomeOwner,7.7272727273
183677,0,13,1,16,3,75,67.5,61.65,11,29,31,4,11,11,3,2,15,544.61,65,F,84000,83460,28DEC1996,Platinum,5,,,27,HomeOwner,6.1363636364
14034,0,14,2,18,3,500,375,416.65,29,46,46,6,14,12,3,2,75,8634.4,57,M,13000,67080,01AUG2000,Platinum,5,,,24,HomeOwner,12.931034483
185632,0,37,1,14,5,0,100,100,9,16,14,4,7,6,1,1,20,1119.96,45,F,54000,61230,14JAN1982,Gold,5,,,42,Unknown,11.111111111
69846,0,52,1,21,5,100,100,100,10,17,15,4,7,6,1,1,20,1121.8,45,F,54000,104650,31MAR1987,Gold,5,,,37,HomeOwner,10
187232,0,28,1,16,5,90,90,90,6,8,7,2,3,3,1,1,18,1092.87,40,M,59000,118690,,Member,5,,,,Unknown,15
68197,0,21,1,15,3,60,48.35,42.5,14,21,20,6,9,7,4,1,12,499.37,44,F,118000,29380,,Gold,3,,,,Unknown,3.4535714286
14211,0,48,1,6,3,75,70,60,28,46,62,5,12,19,7,2,15,537.24,90,M,87000,247260,30JUN2004,Platinum,5,,,20,HomeOwner,2.5
71479,0,27,1,16,5,100,100,100,12,17,14,5,7,6,1,1,20,1110.76,40,F,54000,60710,,Gold,5,,,,Unknown,8.3333333333
72117,1,31,0,19,5,25,75,50,11,17,16,4,4,5,2,0,,590.33,44,M,102000,72540,19JUN1997,Gold,,,,27,HomeOwner,6.8181818182
68382,0,39,0,17,5,125,125,81.25,14,36,40,6,6,17,4,0,,1741.95,68,M,65000,200460,08JAN2004,Platinum,,,,20,Unknown,8.9285714286
73225,0,21,0,16,5,100,100,100,12,17,14,5,5,6,1,0,,1116.83,40,F,54000,115440,,Gold,,,,,HomeOwner,8.3333333333
44630,0,41,2,23,3,100,108.35,93.15,13,34,56,6,16,22,8,2,20,828.3,98,F,57000,122720,01MAY2004,Platinum,5,,,20,HomeOwner,8.3346153846
44855,0,27,6,21,1,50,46.45,32.05,13,31,79,6,17,33,32,3,9.5,280.97,154,M,152000,58760,15JUL2005,Platinum,2,,,19,HomeOwner,3.5730769231
176419,0,11,2,19,3,100,100,58.35,14,34,61,6,16,25,9,2,20,829.01,105,M,89000,92300,,Platinum,3,,,,Unknown,7.1428571429
75012,0,26,1,17,5,100,100,100,11,16,14,5,7,6,1,1,20,1122.39,41,F,54000,52910,24MAR1996,Gold,5,,,28,HomeOwner,9.0909090909
185030,1,22,2,18,2,20,60,50.75,16,37,73,6,16,29,13,2,12,335.23,146,M,101000,107120,03MAR2005,Platinum,1,,,19,HomeOwner,3.75
76070,0,27,1,16,5,115,115,115,12,17,14,5,7,6,1,1,23,1113.62,40,F,47000,67080,,Gold,5,,,,Unknown,9.5833333333
177086,0,43,1,16,3,75,50,50,10,23,20,4,9,8,2,1,5,494.93,54,M,102000,56030,27DEC2003,Platinum,5,,,20,HomeOwner,5
77790,0,31,0,18,3,160,155,157,13,34,58,6,6,24,5,1,,1755.45,106,M,35000,128310,30JAN1996,Platinum,5,,,28,HomeOwner,11.923076923
185353,1,32,5,13,1,15,16.1,15.2,17,36,66,8,19,29,28,3,3.4,150.45,129,F,278000,138190,23MAR2005,Platinum,1,,,19,HomeOwner,0.9470588235
81844,0,21,4,17,2,40,40,37.5,13,32,35,6,15,14,6,2,7.5,290.43,65,F,132000,62010,27JUN1974,Platinum,2,,,50,HomeOwner,3.0769230769
185640,0,41,3,14,2,0,93.75,93,13,33,73,6,17,28,25,3,21.67,582.07,115,M,57000,248300,27NOV1998,Platinum,4,,,25,HomeOwner,7.2115384615
84582,1,23,2,22,3,75,61.65,57,12,31,36,6,16,16,5,2,13.5,924.14,69,F,91000,126490,08JUN2000,Platinum,3,,,24,Unknown,5.1375
46027,0,35,1,22,3,100,100,87.5,12,33,44,6,16,18,6,2,20,836.42,77,F,61000,95290,29APR2002,Platinum,3,,,22,HomeOwner,8.3333333333
85947,0,33,0,26,5,80,80,50.5,11,31,66,5,5,27,10,2,,1092.73,137,F,101000,74750,26DEC1999,Platinum,3,,,24,Unknown,7.2727272727
43414,0,33,5,21,1,90,84.15,58.75,15,36,66,6,17,25,16,3,17.2,592.01,112,F,88000,78650,,Platinum,3,,,,Unknown,5.61
86595,0,18,0,20,5,150,150,97.25,13,30,69,6,6,29,11,2,,1750.03,130,M,55000,49270,10DEC2004,Platinum,4,,,19,Unknown,11.538461538
46362,0,38,2,25,2,50,41.25,31.45,10,30,65,5,14,27,17,3,7.5,315.38,128,F,154000,94770,11MAY1990,Platinum,2,,,34,HomeOwner,4.125
87199,0,71,1,24,5,75,75,58.55,9,28,51,4,12,19,7,2,15,776.69,99,F,89000,40950,22FEB1999,Platinum,3,,,25,Unknown,8.3333333333
16680,0,26,2,18,3,125,125,111.1,14,36,65,6,17,25,9,2,25,1749.06,112,F,48000,150800,23JUL1996,Platinum,4,,,28,Unknown,8.9285714286
87770,0,23,0,18,3,100,87.5,63.75,12,32,39,6,6,17,4,0,,703.68,76,F,82000,261430,21APR1995,Platinum,,,,29,HomeOwner,7.2916666667
46702,0,32,1,18,3,30,70,45.85,15,30,42,6,12,16,6,2,13,539.61,117,M,111000,59410,31JUL2002,Platinum,2,,,22,HomeOwner,4.6666666667
46790,0,43,1,17,5,60,60,40,11,28,73,4,11,28,17,3,12,490.19,146,F,125000,55900,07NOV2001,Platinum,2,,,22,HomeOwner,5.4545454545
43580,0,37,2,17,3,50,41.65,39.65,13,33,76,6,16,31,15,3,7.5,345.59,148,M,126000,303810,04FEB2006,Platinum,2,,,18,HomeOwner,3.2038461538
91762,0,35,0,26,5,100,100,60,9,23,39,4,4,13,3,2,,1106.1,87,F,87000,180050,06JUN1984,Platinum,5,,,40,HomeOwner,11.111111111
47051,0,28,0,19,3,50,62.5,38.95,14,34,74,5,5,29,14,3,,536.34,149,F,128000,58500,,Platinum,2,,,,Unknown,4.4642857143
96446,0,36,0,20,5,125,125,131.9,13,26,64,6,6,25,8,2,,1749.09,134,F,41000,103610,05MAR2000,Platinum,5,,,24,HomeOwner,9.6153846154
187476,0,26,1,18,3,100,87.5,87.5,6,13,13,2,6,6,2,1,15,712.09,56,M,61000,90610,,Member,5,,,,Unknown,14.583333333
98773,0,34,0,20,3,100,75,44.15,13,30,44,6,6,17,6,2,,698.95,86,M,114000,112840,23JUL2002,Platinum,5,,,22,Unknown,5.7692307692
47676,0,28,0,17,5,75,75,44.45,11,29,68,4,4,28,9,3,,788.21,150,M,114000,56680,,Platinum,3,,,,Unknown,6.8181818182
101125,0,44,0,25,5,125,125,74,12,32,61,6,6,22,5,1,,1744.81,112,F,71000,77350,12MAR1970,Platinum,5,,,54,HomeOwner,10.416666667
32984,1,0,1,19,5,20,75,47.5,13,20,18,4,7,6,2,1,15,554.81,45,M,107000,0,,Gold,2,,,,Unknown,5.7692307692
103879,0,56,1,19,3,25,26.65,22.05,14,31,66,6,14,23,17,3,5,234.55,113,M,208000,98540,,Platinum,1,,,,Unknown,1.9035714286
178976,0,31,1,17,5,125,125,125,11,16,14,5,7,6,1,1,25,1743.44,41,M,43000,0,,Gold,5,,,,HomeOwner,11.363636364
118762,0,50,1,17,5,100,100,100,11,16,14,5,7,6,1,1,20,1125.09,41,M,54000,172250,24JUN1994,Gold,5,,,30,HomeOwner,9.0909090909
35839,0,45,4,16,1,50,40,40,14,33,35,6,16,15,12,2,8,224.44,66,F,125000,91390,23FEB2004,Platinum,2,,,20,Unknown,2.8571428571
130998,0,32,3,20,3,75,55,43,12,31,35,6,15,15,5,2,11,485.81,67,M,117000,87750,16OCT1991,Platinum,3,,,32,Unknown,4.5833333333
50667,0,32,0,24,3,50,50,44.5,11,32,73,6,6,32,21,3,,401.45,138,F,114000,50700,,Platinum,2,,,,HomeOwner,4.5454545455
139175,1,38,8,17,1,70,70,57.55,14,34,81,6,17,31,37,3,14.13,284.08,135,F,90000,70460,,Platinum,2,,,,Unknown,5
184321,0,50,1,21,5,125,125,125,12,31,43,6,15,18,3,2,25,1746.67,80,F,43000,93730,16NOV1993,Platinum,5,,,30,HomeOwner,10.416666667
145383,1,23,6,17,1,40,34.4,33.35,12,31,34,6,16,15,9,3,6.5,253.38,65,M,147000,470210,27MAR1999,Platinum,2,,,25,HomeOwner,2.8666666667
54308,0,35,5,21,1,50,41.25,39,12,31,35,6,16,16,10,3,8.2,288.18,68,F,128000,48880,15OCT1993,Platinum,2,,,30,HomeOwner,3.4375
150739,1,23,1,26,3,75,63.35,48.4,10,31,72,5,15,31,22,3,13,449.67,150,U,105000,253630,10NOV1989,Platinum,3,,,34,HomeOwner,6.335
189684,0,40,2,17,3,125,112.5,112.5,4,10,9,2,5,5,2,2,22.5,1120.73,53,F,48000,341770,,Member,5,,,,Unknown,28.125
156428,1,18,1,18,2,65,50,40.3,14,35,67,6,16,25,18,3,9,298.28,113,F,124000,209300,07JUN2003,Platinum,2,,,21,Unknown,3.5714285714
61529,0,26,1,17,5,75,75,75,10,15,13,4,6,5,1,1,15,782.17,41,F,70000,63440,07APR1991,Gold,5,,,33,HomeOwner,7.5
161724,0,35,1,24,3,85,85,79,9,30,52,4,14,20,5,2,17,705.26,99,M,67000,331760,06DEC2004,Platinum,5,,,19,HomeOwner,9.4444444444
166583,0,19,1,16,5,100,100,100,14,19,16,5,7,6,1,1,20,1115.78,40,F,54000,266630,,Gold,5,,,,Unknown,7.1428571429
67318,0,40,0,18,3,60,63.35,48.35,14,32,49,6,6,20,6,2,,536.79,111,F,105000,137020,22OCT2001,Platinum,3,,,22,HomeOwner,4.525
172000,0,27,1,26,3,85,80,80,10,26,25,4,11,10,2,1,15,716.02,56,F,66000,241280,,Platinum,5,,,,Unknown,8
11484,0,47,1,19,3,50,50,52.3,6,15,50,2,7,19,26,3,10,389.9,125,M,98000,171340,04AUG2007,Member,2,,,17,HomeOwner,8.3333333333
174495,0,43,4,15,2,50,52,38.75,13,35,68,6,17,28,20,3,10.5,390.03,121,F,129000,122720,16NOV2003,Platinum,2,,,20,HomeOwner,4
68235,0,33,0,18,3,110,105,87.15,13,34,65,6,6,28,7,2,,1127.7,144,F,61000,51870,19DEC2000,Platinum,3,,,23,HomeOwner,8.0769230769
175549,0,33,3,17,2,60,55,43.45,13,33,60,6,17,28,13,3,11,384.95,137,F,116000,91780,20MAR1991,Platinum,2,,,33,HomeOwner,4.2307692308
174149,0,17,3,16,2,75,76.25,64.15,14,34,42,6,15,17,6,2,17,593.81,76,U,81000,323050,,Platinum,5,,,,HomeOwner,5.4464285714
176683,0,32,3,17,2,50,48,33.55,13,32,68,6,16,30,17,3,10,310.51,153,F,146000,96850,17JUN1994,Platinum,2,,,30,Unknown,3.6923076923
174200,0,30,2,25,3,90,86.65,70,11,31,37,6,15,15,5,2,17.5,716.14,77,F,75000,618800,02NOV1993,Platinum,5,,,30,HomeOwner,7.8772727273
177660,0,10,5,15,1,25,25,26.3,12,33,53,6,17,22,23,3,5,175.5,89,F,180000,400920,04MAY2006,Platinum,1,,,18,Unknown,2.0833333333
33035,0,36,4,19,1,25,25,25,11,33,39,6,17,17,12,2,5,177.8,68,M,188000,119080,12NOV1982,Platinum,1,,,41,HomeOwner,2.2727272727
181130,0,40,3,15,1,35,28.75,25.35,15,34,79,6,16,31,28,3,5.67,201.88,149,F,185000,124280,,Platinum,1,,,,Unknown,1.9166666667
69124,0,40,1,18,5,100,100,54,11,25,46,4,9,18,5,2,20,1118.63,127,F,95000,106210,11MAY2004,Platinum,3,,,20,HomeOwner,9.0909090909
184431,0,39,2,15,3,135,122.5,116,13,32,45,6,15,19,5,2,24.5,1755.68,80,M,46000,98280,01AUG2001,Platinum,5,,,23,HomeOwner,9.4230769231
67975,0,32,0,15,3,75,75,60,8,19,29,4,4,13,5,0,,715.89,119,M,87000,45110,17JUN2000,Platinum,,,,24,HomeOwner,9.375
185285,0,28,1,17,3,125,112.5,73.15,28,49,79,6,17,27,16,3,25,1108.36,113,F,72000,184340,21MAR2005,Platinum,4,,,19,Unknown,4.0178571429
69562,0,19,2,18,2,75,56.25,37.1,14,30,73,6,13,28,19,3,12.5,396.16,153,F,134000,67470,06FEB1989,Platinum,3,,,35,HomeOwner,4.0178571429
186021,0,35,1,10,3,125,100,107.15,25,45,63,7,17,23,7,2,20,1116.45,110,M,50000,143000,06DEC2003,Platinum,4,,,20,HomeOwner,4
43546,0,0,1,25,3,60,67.5,56.6,10,31,71,5,15,28,14,3,15,1038.93,133,M,91000,0,,Platinum,2,,,,Unknown,6.75
186895,0,25,1,7,3,125,100,108.35,18,26,24,7,11,9,3,1,20,1116.78,44,F,50000,554320,10JUN2000,Gold,5,,,24,HomeOwner,5.5555555556
70123,0,18,1,19,5,150,150,150,11,16,13,5,7,6,1,1,30,1743.94,43,F,36000,47710,,Gold,5,,,,Unknown,13.636363636
187326,0,34,1,24,5,75,75,75,4,9,8,1,4,4,1,1,15,785.54,48,F,70000,94380,,Member,5,,,,Unknown,18.75
174913,0,20,3,18,2,90,82.5,72.65,13,34,76,6,17,34,15,3,16,596.92,154,M,72000,79560,12MAY2005,Platinum,3,,,19,HomeOwner,6.3461538462
187603,0,0,0,17,3,125,145,121.25,5,13,14,1,1,6,4,1,,1748.18,65,F,45000,150020,,Member,5,,,,Unknown,29
25574,0,26,2,23,3,75,75,68.55,12,34,46,6,17,20,7,2,15,707.4,80,M,76000,146250,23DEC1999,Platinum,3,,,24,HomeOwner,6.25
190008,0,0,1,15,5,125,125,125,4,6,5,2,3,3,1,1,25,1752.17,39,F,43000,0,,Member,5,,,,Unknown,31.25
44117,0,31,1,17,3,75,62.5,41.65,16,34,55,6,15,21,9,2,15,544.22,98,F,121000,99840,27DEC2003,Platinum,3,,,20,HomeOwner,3.90625
71838,0,33,1,15,5,50,25,33.35,11,14,13,4,6,5,3,2,5,344.36,40,F,147000,26520,30JAN1995,Gold,3,,,29,HomeOwner,2.2727272727
68315,0,30,2,15,3,50,75,75,14,22,21,6,10,8,3,2,17.5,705.17,45,F,70000,39130,14JUL1996,Gold,3,,,28,Unknown,5.3571428571
44310,0,31,2,26,3,100,91.65,79.35,11,33,90,5,16,33,38,3,17.5,699.14,152,M,67000,134940,24MAR1996,Platinum,3,,,28,HomeOwner,8.3318181818
175634,0,38,3,23,3,100,98.35,78.35,15,37,48,6,17,20,6,2,19.67,697.03,77,F,67000,0,26DEC1993,Platinum,3,,,30,Unknown,6.5566666667
72951,0,43,0,15,5,100,100,100,10,14,12,5,5,6,1,0,,1115.65,39,M,54000,85930,01DEC1985,Gold,,,,38,Unknown,10
44458,0,47,1,18,3,75,67.5,77,15,32,52,6,13,17,5,2,12,537.71,87,M,69000,101140,21APR2002,Platinum,5,,,22,HomeOwner,4.5
73424,0,33,0,20,5,100,100,100,10,16,15,4,4,5,1,0,,1123.89,44,M,54000,29120,08MAR1993,Gold,,,,31,Unknown,10
175894,0,25,2,15,1,50,54.15,47.75,13,35,54,6,17,21,11,2,11.5,390.16,92,F,107000,70980,14JUL2002,Platinum,2,,,22,HomeOwner,4.1653846154
73827,0,0,0,25,5,100,100,100,7,18,16,3,3,6,1,0,,1117.27,49,F,54000,63440,18JAN1990,Gold,,,,34,HomeOwner,14.285714286
69298,0,33,0,18,5,100,100,81.8,13,33,72,6,6,29,11,2,,1125.04,134,U,65000,167830,28OCT1999,Platinum,3,,,24,Unknown,7.6923076923
74347,0,38,1,15,5,100,50,75,12,17,15,5,7,6,2,1,10,670.25,41,M,70000,46670,,Gold,5,,,,Unknown,4.1666666667
191677,0,0,3,18,2,20,37.5,32.5,13,33,69,6,16,27,16,3,8.33,295.93,142,M,150000,262730,,Platinum,1,,,,Unknown,2.8846153846
45097,0,47,2,19,3,100,50,66.65,13,26,26,6,12,10,3,2,10,663.17,53,F,79000,120250,11JAN1981,Platinum,5,,,43,HomeOwner,3.8461538462
15317,0,35,1,21,3,110,97.5,90,12,25,24,6,12,10,3,1,22,957.9,55,F,59000,92820,30MAR2001,Platinum,5,,,23,HomeOwner,8.125
75292,0,25,1,18,5,100,100,100,10,14,13,4,6,5,1,1,20,1107.77,42,M,54000,109330,10JUN1992,Gold,5,,,32,HomeOwner,10
176764,0,48,2,19,3,85,78.35,85,13,34,71,6,16,29,12,3,15,704.94,126,F,63000,80860,31JUL2004,Platinum,3,,,20,HomeOwner,6.0269230769
75852,0,34,1,17,5,100,100,100,10,15,13,4,6,5,1,1,20,1120.95,41,U,54000,59280,,Gold,5,,,,Unknown,10
